Name,Type,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc
Jason Roy,Batsman ,13,13,2,329,91* v MI,0,2,39,9,29.9,129.02,8,0,0,0,,,,,,,,,,,,
Jasprit Bumrah,Bowler ,106,20,15,56,16* v RPS,0,0,4,1,11.2,96.55,13,0,7,1,106,403.4,5,2997,130,4/14 v DC,14,0,23.05,7.42,18.63,106
Jayant Yadav,All-Rounder ,19,5,1,40,23 v DC,0,0,2,1,10,111.11,6,0,1,2,19,61,0,419,8,1/8 v CSK,0,0,52.37,6.86,45.75,19
Jaydev Unadkat,Bowler ,86,21,12,105,26 v KKR,0,0,9,3,11.66,109.37,24,0,8,1,85,296,3,2588,85,5/25 v DC,5,2,30.44,8.74,20.89,85
Jitesh Sharma,Wicket-Keeper ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jofra Archer,All-Rounder ,35,23,10,195,27* v CSK,0,0,11,14,15,157.25,9,0,5,1,35,137.3,2,981,46,3/15 v PBKS,6,0,21.32,7.13,17.93,35
Jonny Bairstow,Wicket-Keeper ,28,28,3,1038,114 v RCB,1,7,99,46,41.52,142.19,18,4,2,0,,,,,,,,,,,,
Jos Buttler,Wicket-Keeper ,65,64,8,1968,124 v SRH,1,11,194,90,35.14,150,34,1,1,3,,,,,,,,,,,,
Josh Hazlewood,Bowler ,12,0,0,,,0,0,0,0,,0,1,0,0,0,12,45,0,357,12,3/24 v SRH,1,0,29.75,7.93,22.5,12
Kagiso Rabada,Bowler ,50,18,8,138,44 v MI,0,0,11,4,13.8,102.98,23,0,5,2,50,190,2,1560,76,4/21 v RCB,4,0,20.52,8.21,15,50
Kamlesh Nagarkoti,All-Rounder ,11,7,3,22,8* v RR,0,0,1,0,5.5,66.66,4,0,2,0,10,28,0,256,5,2/13 v RR,0,0,51.2,9.14,33.6,10
Kane Williamson,Batsman ,63,62,15,1885,89 v DC,0,17,165,56,40.1,131.26,29,0,1,3,2,3,0,31,0,0/7 v KKR,0,0,,10.33,,2
Karan Sharma,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karn Sharma,Bowler ,68,35,14,317,39* v CSK,0,0,18,14,15.09,115.69,14,0,2,3,66,203.4,1,1610,59,4/16 v KKR,2,0,27.28,7.9,20.71,66
Kartik Tyagi,Bowler ,14,5,3,6,2* v DC,0,0,0,0,3,60,3,0,1,0,14,52.1,0,491,13,2/29 v PBKS,0,0,37.76,9.41,24.07,14
Karun Nair,Batsman ,73,66,5,1480,83* v SRH,0,10,160,39,24.26,128.36,22,0,3,1,,,,,,,,,,,,
K.C Cariappa,Bowler ,11,5,2,24,12* v RCB,0,0,0,2,8,114.28,3,0,0,0,11,36,0,348,8,2/16 v RCB,0,0,43.5,9.66,27,11
Khaleel Ahmed,Bowler ,24,3,0,1,1 v MI,0,0,0,0,0.33,20,1,0,2,1,24,90.3,0,786,32,3/21 v PBKS,6,0,24.56,8.68,16.96,24
Kieron Pollard,All-Rounder ,178,160,51,3268,87* v CSK,0,16,212,214,29.98,149.77,96,0,8,4,101,234,0,2055,65,4/44 v RR,2,0,31.61,8.78,21.6,101
KL Rahul,Wicket-keeper ,94,85,16,3273,132* v RCB,2,27,282,134,47.43,136.37,50,5,2,2,,,,,,,,,,,,
K.M Asif,Bowler ,3,0,0,,,0,0,0,0,,0,,,0,0,3,8.1,0,93,4,2/43 v DC,0,0,23.25,11.38,12.25,3
K. Gowtham,All-Rounder ,24,19,6,186,33* v MI,0,0,13,12,14.3,169.09,10,0,2,1,24,68,0,562,13,2/12 v PBKS,0,0,43.23,8.26,31.38,24
Krunal Pandya,All-Rounder ,84,72,22,1143,86 v DC,0,1,105,46,22.86,138.54,28,0,6,4,81,240.4,0,1773,51,3/14 v GL,4,0,34.76,7.36,28.31,81
Kuldeep Sen,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuldeep Yadav,Bowler ,45,11,5,57,16 v MI,0,0,5,0,9.5,76,11,0,3,3,43,149.2,0,1236,40,4/20 v RR,2,0,30.9,8.27,22.4,43
Kuldip Yadav,Bowler ,1,1,1,0,0* v MI,0,0,0,0,,0,,,1,0,1,2,0,16,0,0/16 v MI,0,0,,8,,1
Kyle Mayers,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit Yadav,All-Rounder ,7,5,3,68,22* v MI,0,0,7,0,34,93.15,5,0,1,0,5,14,0,101,4,2/13 v KKR,0,0,25.25,7.21,21,5
Liam Livingstone,All-Rounder ,9,9,1,112,44 v SRH,0,0,9,6,14,125.84,7,0,0,0,1,1,0,13,0,0/13 v MI,0,0,,13,,1
Lockie Ferguson,Bowler ,22,6,6,62,24* v PBKS,0,0,5,2,,151.22,3,0,2,0,22,79.5,1,648,24,3/15 v SRH,2,0,27,8.11,19.95,22
Lungi Ngidi,Bowler ,14,0,0,,,0,0,0,0,,0,2,0,0,0,14,54,2,448,25,4/10 v PBKS,3,0,17.92,8.29,12.96,14
Luvnith Sisodia,Wicket-Keeper ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maheesh Theekshana,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahipal Lomror,All-Rounder ,11,10,2,181,47 v RCB,0,0,8,9,22.62,119.86,1,0,0,0,6,10,0,74,1,1/22 v SRH,0,0,74,7.4,60,6
Manan Vohra,Batsman ,53,49,2,1054,95 v SRH,0,3,102,41,22.42,130.6,13,0,3,4,,,,,,,,,,,,
Mandeep Singh,Batsman ,105,92,16,1674,77* v PWI,0,6,172,37,22.02,124.09,37,0,12,3,2,2,0,26,0,0/8 v RR,0,0,,13,,2
Manish Pandey,Batsman ,154,143,27,3560,114* v DCH,1,21,309,103,30.68,121.83,75,0,13,6,,,,,,,,,,,,
Marco Jansen,All-Rounder ,2,2,0,0,0 v KKR,0,0,0,0,0,0,1,0,2,0,2,6,0,45,2,2/28 v RCB,0,0,22.5,7.5,18,2
Marcus Stoinis,All-Rounder ,56,49,16,914,65 v MI,0,4,76,35,27.69,135.81,12,0,5,2,45,102,0,969,30,4/15 v MI,2,0,32.3,9.5,20.4,45
Mark Wood,Bowler ,1,1,0,1,1 v MI,0,0,0,0,1,33.33,1,0,0,0,1,4,0,49,0,0/49 v MI,0,0,,12.25,,1
Matthew Wade,Wicket-Keeper ,3,3,0,22,11 v PWI,0,0,0,0,7.33,66.66,,,0,0,,,,,,,,,,,,
Mayank Agarwal,Batsman ,100,95,4,2131,106 v RR,1,11,203,85,23.41,135.47,40,0,6,4,,,,,,,,,,,,
Mayank Markande,Bowler ,18,8,5,27,7* v PBKS,0,0,3,0,9,93.1,3,0,2,0,18,53,0,453,16,4/23 v SRH,1,0,28.31,8.54,19.87,18
Mayank Yadav,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Marsh,All-Rounder ,21,15,2,225,38 v MI,0,0,9,14,17.3,114.21,7,0,1,1,19,53.1,0,420,20,4/25 v DCH,0,0,21,7.89,15.95,19
Mitchell Santner,All-Rounder ,6,2,1,32,22 v MI,0,0,0,3,32,139.13,2,0,0,0,6,21,0,147,6,2/13 v MI,0,0,24.5,7,21,6
Moeen Ali,All-Rounder ,34,32,3,666,66 v KKR,0,4,52,42,22.96,146.37,11,0,4,3,27,68.3,0,469,16,3/7 v RR,1,0,29.31,6.84,25.68,27
Mohammad Nabi,All-Rounder ,17,14,2,180,31 v MI,0,0,16,9,15,151.26,11,0,0,1,17,57.1,0,408,13,4/11 v RCB,0,0,31.38,7.13,26.38,17
Mohammed Shami,Bowler ,77,23,12,69,21 v RCB,0,0,5,2,6.27,94.52,11,0,7,2,77,278.2,1,2402,79,3/15 v DC,6,0,30.4,8.62,21.13,77
Mohammed Siraj,Bowler ,50,15,10,66,14 v RR,0,0,5,2,13.2,86.84,16,0,5,1,50,171.2,4,1437,50,4/32 v GL,3,0,28.74,8.38,20.56,50
Mohsin Khan,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni,Wicket-Keeper ,220,193,73,4746,84* v RCB,0,23,325,219,39.55,135.83,126,39,5,9,,,,,,,,,,,,
Mukesh Choudhary,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murugan Ashwin,Bowler ,34,8,2,23,9 v SRH,0,0,1,0,3.83,63.88,7,0,1,1,34,112,0,881,26,3/21 v RCB,2,0,33.88,7.86,25.84,34
