Name,Type,MatchPlayed,InningsBatted,RunsScored,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,Specialism,Base Price,Sold Price,C/U,Country
Glenn Phillips,Wicket-Keeper ,3,3,26,0,0,1,2,13,78.78,1,0,0,0,2,2,0,20,1,0,0,20,10,12,2,WICKETKEEPER,1.5,1.5,1,0
Gurkeerat Singh Mann,All-Rounder ,41,32,511,0,2,55,11,21.29,121.09,19,1,4,1,6,13,0,97,5,0,0,19.4,7.46,15.6,6,,,,,
Harpreet Brar,All-Rounder ,10,6,84,0,0,5,3,,120,2,0,0,0,10,32,1,228,5,1,0,45.6,7.12,38.4,10,ALL-ROUNDER,0.2,3.8,0,1
Harshal Patel,All-Rounder ,63,28,187,0,0,11,11,11,134.53,15,0,9,3,61,210.4,0,1808,78,6,1,23.17,8.58,16.2,61,ALL-ROUNDER,2,10.75,1,1
Hrithik Shokeen,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,0.2,0,1
Ishan Kishan,Wicket-Keeper ,61,56,1452,0,9,121,74,28.47,136.33,19,2,5,5,,,,,,,,,,,,WICKETKEEPER,2,15.25,1,1
Ishan Porel,Bowler ,1,0,,0,0,0,0,,0,,,0,0,1,4,0,39,1,0,0,39,9.75,24,1,BOWLER,0.2,0.25,0,1
Jagadeesha Suchith,Bowler ,17,8,68,0,0,6,3,34,128.3,9,0,2,1,16,52,0,462,12,0,0,38.5,8.88,26,16,BOWLER,0.2,0.2,0,1
James Neesham,All-Rounder ,12,8,61,0,0,3,2,8.71,92.42,1,0,2,0,12,33,0,305,8,1,0,38.12,9.24,24.75,12,ALL-ROUNDER,1.5,1.5,1,0
Jason Behrendorff,Bowler ,5,0,,0,0,0,0,,0,,,0,0,5,19,0,165,5,0,0,33,8.68,22.8,5,BOWLER,0.75,0.75,1,0
Jason Holder,All-Rounder ,26,16,189,0,0,11,11,14.53,121.15,7,0,1,2,26,95.5,0,786,35,5,0,22.45,8.2,16.42,26,ALL-ROUNDER,1.5,8.75,1,0
Jason Roy,Batsman ,13,13,329,0,2,39,9,29.9,129.02,8,0,0,0,,,,,,,,,,,,BATSMAN,2,2,1,0
Jayant Yadav,All-Rounder ,19,5,40,0,0,2,1,10,111.11,6,0,1,2,19,61,0,419,8,0,0,52.37,6.86,45.75,19,ALL-ROUNDER,1,1.7,1,1
Jaydev Unadkat,Bowler ,86,21,105,0,0,9,3,11.66,109.37,24,0,8,1,85,296,3,2588,85,5,2,30.44,8.74,20.89,85,BOWLER,0.75,1.3,1,1
Jitesh Sharma,Wicket-Keeper ,,,,,,,,,,,,,,,,,,,,,,,,,WICKETKEEPER,0.2,0.2,0,1
Jofra Archer,All-Rounder ,35,23,195,0,0,11,14,15,157.25,9,0,5,1,35,137.3,2,981,46,6,0,21.32,7.13,17.93,35,ALL-ROUNDER,2,8,1,0
Jonny Bairstow,Wicket-Keeper ,28,28,1038,1,7,99,46,41.52,142.19,18,4,2,0,,,,,,,,,,,,WICKETKEEPER,1.5,6.75,1,0
Josh Hazlewood,Bowler ,12,0,,0,0,0,0,,0,1,0,0,0,12,45,0,357,12,1,0,29.75,7.93,22.5,12,BOWLER,2,7.75,1,0
K. Gowtham,All-Rounder ,24,19,186,0,0,13,12,14.3,169.09,10,0,2,1,24,68,0,562,13,0,0,43.23,8.26,31.38,24,ALL-ROUNDER,0.5,0.9,1,1
K.Bhagath Varma,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,0.2,0,1
K.C Cariappa,Bowler ,11,5,24,0,0,0,2,8,114.28,3,0,0,0,11,36,0,348,8,0,0,43.5,9.66,27,11,BOWLER,0.2,0.3,0,1
K.M Asif,Bowler ,3,0,,0,0,0,0,,0,,,0,0,3,8.1,0,93,4,0,0,23.25,11.38,12.25,3,,,,,
K.S. Bharat,Wicket-Keeper ,8,7,191,0,1,10,8,38.2,122.43,4,1,1,0,,,,,,,,,,,,WICKETKEEPER,0.2,0.2,0,1
Kagiso Rabada,Bowler ,50,18,138,0,0,11,4,13.8,102.98,23,0,5,2,50,190,2,1560,76,4,0,20.52,8.21,15,50,BOWLER,2,9.25,1,0
Kamlesh Nagarkoti,All-Rounder ,11,7,22,0,0,1,0,5.5,66.66,4,0,2,0,10,28,0,256,5,0,0,51.2,9.14,33.6,10,ALL-ROUNDER,0.4,1.1,0,1
Karan Sharma,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,0.2,0,1
Karn Sharma,Bowler ,68,35,317,0,0,18,14,15.09,115.69,14,0,2,3,66,203.4,1,1610,59,2,0,27.28,7.9,20.71,66,BOWLER,0.5,0.5,1,1
